0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:43 +0800] "GET /kncoffee_project/customer/js/bootstrap.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:43 +0800] "GET /kncoffee_project/customer/js/jquery-3.4.1.js HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:50 +0800] "POST /kncoffee_project/customer/loginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:50 +0800] "GET /kncoffee_project/customer/loginSuccess.jsp HTTP/1.1" 200 4841
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:50 +0800] "GET /kncoffee_project/customer/page.jpg HTTP/1.1" 200 205365
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:52 +0800] "GET /kncoffee_project/porder/porder.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:52 +0800] "GET /kncoffee_project/porder/page.jpg HTTP/1.1" 200 205365
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/addPorder.jsp HTTP/1.1" 200 6253
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/HARIO%20V60%20Drip%20Scale%20HARIO%E9%9B%BB%E5%AD%90%E7%A7%A4.jpg HTTP/1.1" 200 134341
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/KALITA%20%E8%9D%B6%E7%95%AA%E4%BB%98%E6%89%8B%E6%B2%96%E5%A3%BA%200.7%E5%85%AC%E5%8D%87%20SWAN%20NECK%20KETTLE.jpg HTTP/1.1" 200 248572
0:0:0:0:0:0:0:1 - - [09/Apr/2022:12:49:54 +0800] "GET /kncoffee_project/porder/photo/%E6%B3%B0%E6%91%A9%E5%86%B0%E7%9E%B3%E6%BF%BE%E6%9D%AFTIMEMORE%20CRYSTAL%20EYE%20DRIPPER.jpg HTTP/1.1" 200 285370
